screen_name,fav,rt,tweet,tweet_url
KayaJones,4825,1470,My new favorite song! Girls when can I come and sing this with you? Say the word! @DeplorableChoir better yet let’s… https://t.co/0IYMt4ZFxe,https://twitter.com/KayaJones/status/1154974865193164800
thenation,187,80,"Years before Colin Kaepernick was born, Jackie Robinson wrote: “I cannot stand and sing the anthem. I cannot salute… https://t.co/gWL52gn2ts",https://twitter.com/thenation/status/1155575664818479110
JasonIsbell,2295,115,"If Twitter was real life 

Me: Guys I’m having chest pains

Everybody: Sounds like a song! 

Me: No seriously 

Eve… https://t.co/yAHrkY8514",https://twitter.com/JasonIsbell/status/1155569227383877632
goal,937,118,"Eintracht Frankfurt fans sing “buy us a round” to club president Peter Fischer 🍻 

Fischer hands over his beer and… https://t.co/JZ360DIETu",https://twitter.com/goal/status/1155115733996769280
WarringtonRLFC,409,113,"🔊 TURN IT UP! SING IT LOUD! 

#ChallengeCup https://t.co/dqzM2KDn7L",https://twitter.com/WarringtonRLFC/status/1155156721360429057
desiringGod,367,85,"John Piper: “God is the same yesterday, today, and forever. He cannot be improved or diminished. He is not becoming… https://t.co/8GUSQmZqgL",https://twitter.com/desiringGod/status/1155463668198514688
CNN,267,77,"""Baby Shark"" will soon be swimming in bowls of milk as kids sing along to the popular song's ""doo doo doo doo doo d… https://t.co/p96TlrxZRP",https://twitter.com/CNN/status/1155206241251135488
hunantvchina,204,228,"【 #MangotvFestival2019】
Our #MGTV_APP endorsor #赖冠霖 will sing for you in #MangotvFestivalNight  tonight! ❤️❤️❤️
LIV… https://t.co/1qAq9nXSCM",https://twitter.com/hunantvchina/status/1154987307461677058
NASAhistory,555,124,"Sing us a song, you're the.... ukulele man?

Today in 1969, Neil Armstrong entertained himself on Day 4 of quaranti… https://t.co/mqVRbQfcCw",https://twitter.com/NASAhistory/status/1155123176566939649
Nnedi,1238,76,"Lady cicada! 😊🌞 #Summer 
Note: Cicadas are huge *harmless* insects who live to sing, listen to singing, fly and mat… https://t.co/Ywhcb4yTC0",https://twitter.com/Nnedi/status/1155174114954567680
deanvannguyen,15211,3423,"My uncle, half watching Sky News in front of whole family: ""I quite like Boris Johnson""

My brain:
Don't say it
Don… https://t.co/IagrDZc0vA",https://twitter.com/deanvannguyen/status/1155221207266058241
UberFacts,4674,752,"The Calvin Klein cologne ""Obsession"" can attract big cats like jaguars, and tigers, from as far as half a mile away… https://t.co/j93pgQz3tm",https://twitter.com/UberFacts/status/1155328527337701377
